Rank,Name,Price,One_hour_change,Twenty_four_hour_change,Seven_day_change,Market_cap,Hr_volume,Circulating_supply
817,ResearchCoinRSCBuy,$0.1258,1.05%,0.44%,12.21%,"$16.31M$16,306,934","$631,9445.00M",129.55M RSC
818,GRIFFAINGRIFFAINBuy,$0.01635,0.36%,2.11%,11.47%,"$16.36M$16,357,915","$4,389,199268.29M",999.88M GRIFFAIN
819,Hermez NetworkHEZBuy,$3.47,0.29%,0.13%,2.72%,"$16.33M$16,331,521","$55,63416.01K",4.7M HEZ
820,BlessBLESSBuy,$0.008835,1.51%,0.55%,15.80%,"$16.27M$16,272,098","$4,988,585563.04M",1.84B BLESS
821,Just a chill guyCHILLGUYBuy,$0.01623,1.42%,1.15%,24.28%,"$16.24M$16,237,347","$5,657,199347.71M",999.94M CHILLGUY
822,CONXXPLABuy,$0.01827,0.56%,1.49%,6.22%,"$16.3M$16,304,869","$518,95228.39M",892.23M XPLA
823,Alpha Quark TokenAQTBuy,$0.6039,0.01%,1.74%,3.10%,"$16.19M$16,190,211","$1,869,9023.09M",26.8M AQT
824,PhoenixPHBBuy,$0.2603,0.43%,1.38%,6.37%,"$16.18M$16,175,527","$3,057,66511.74M",62.11M PHB
825,StaderSDBuy,$0.2361,0.39%,0.10%,9.17%,"$16.16M$16,163,225","$3,368,61614.30M",68.43M SD
826,Unicorn Fart DustUFDBuy,$0.01613,0.02%,11.69%,14.49%,"$16.13M$16,132,934","$4,387,582272.30M",1B UFD
827,Circle Internet Group Tokenized Stock (Ondo)CRCLonBuy,$71.24,0.92%,0.30%,11.93%,"$16.04M$16,039,405","$9,618,146134.95K",225.14K CRCLon
828,Automata NetworkATABuy,$0.01729,0.70%,0.25%,2.46%,"$15.94M$15,942,515","$9,342,569540.24M",921.89M ATA
829,GameStop (gamestop-coin.vip)GMEBuy,$0.00003862,0.38%,2.91%,2.33%,"$15.89M$15,888,308","$175,7504.54B",411.29B GME
830,GaiAIGAIXBuy,$0.09684,0.18%,8.98%,19.94%,"$15.9M$15,898,028","$45,264,997468.49M",164.16M GAIX
831,MWX TokenMWXTBuy,$0.1594,0.61%,11.34%,16.71%,"$15.93M$15,930,319","$2,204,34813.90M",99.93M MWXT
832,iShares Core MSCI EAFE Tokenized ETF (Ondo)IEFAonBuy,$94.12,0.01%,1.39%,0.21%,"$15.75M$15,753,913","$3,443,51836.58K",167.37K IEFAon
833,Moss CoinMOCBuy,$0.03567,0.21%,2.53%,2.40%,"$15.71M$15,712,270","$299,7988.40M",440.48M MOC
834,FirmaChainFCTBuy,$0.01415,0.14%,1.91%,3.09%,"$15.71M$15,707,357","$1,682,791119.00M",1.1B FCT
835,GoldfinchGFIBuy,$0.1847,0.15%,1.44%,14.94%,"$15.72M$15,716,557","$176,668957.83K",85.08M GFI
836,ANDY (ETH)ANDYBuy,$0.00001563,1.32%,10.65%,26.42%,"$15.64M$15,639,688","$521,53033.34B",1T ANDY
837,Orochi NetworkONBuy,$0.1082,0.10%,1.57%,12.33%,"$15.62M$15,624,447","$26,838,126247.88M",144.27M ON
838,Agoras: Tau NetAGRSBuy,$0.5220,0.07%,0.58%,1.54%,"$15.59M$15,589,273","$3,0145.77K",29.86M AGRS
839,MyShellSHELLBuy,$0.04799,1.64%,0.60%,2.03%,"$15.51M$15,511,855","$11,358,757236.64M",323.16M SHELL
840,Bitcoin DiamondBCDBuy,$0.08311,0.22%,1.07%,46.41%,"$15.5M$15,500,721",--,186.49M BCD
841,Hey AnonANONBuy,$1.13,0.66%,3.18%,6.52%,"$15.25M$15,252,096","$703,810618.86K",13.41M ANON
842,Alien WorldsTLMBuy,$0.002348,0.99%,0.71%,0.05%,"$15.2M$15,198,318","$15,111,7716.43B",6.47B TLM
843,Nexa (nexaagent.xyz)NXABuy,$1.51,0.39%,0.97%,6.73%,"$15.18M$15,182,314","$150,85999.35K",10M NXA
844,YoungYNGBuy,$0.5617,0.00%,0.15%,2.43%,"$15.17M$15,167,233","$25,87246.05K",27M YNG
845,ThunderCoreTTBuy,$0.001152,0.09%,0.16%,5.87%,"$15.15M$15,150,470","$312,707271.24M",13.14B TT
846,EllipsisEPSBuy,$0.02090,0.00%,1.56%,4.98%,"$15.13M$15,131,443",--,723.7M EPS
847,FelysyumFELYBuy,$0.3457,0.05%,2.66%,3.80%,"$15.13M$15,130,895","$52,470151.79K",43.76M FELY
848,AraracoinARARABuy,$0.0004170,0.13%,0.15%,0.99%,"$15.12M$15,116,405","$12,30329.51M",36.25B ARARA
849,Ancient8A8Buy,$0.03407,0.20%,7.88%,27.62%,"$15.11M$15,109,112","$6,290,783184.70M",443.38M A8
850,MetFiMETFIBuy,$0.05444,0.54%,0.48%,8.39%,"$15.08M$15,078,972","$43,868805.09K",276.98M METFI
851,LumiaLUMIABuy,$0.1067,0.15%,1.12%,12.12%,"$15.11M$15,107,536","$2,109,56219.79M",141.49M LUMIA
852,BanxchangeBXEBuy,$0.05000,0.53%,23.01%,27.39%,"$15.04M$15,042,243","$323,6756.46M",300.81M BXE
853,NeutronNTRNBuy,$0.02273,0.92%,2.48%,14.73%,"$15.02M$15,018,914","$2,422,707106.54M",660.5M NTRN
854,Tether Gold TokensXAUT0Buy,"$4,917.27",0.17%,1.23%,6.60%,"$14.99M$14,991,311","$1,145,980232.90",3.04K XAUT0
855,Luna by VirtualsLUNABuy,$0.01492,0.33%,3.37%,37.98%,"$14.93M$14,927,895","$558,26937.28M",1B LUNA
856,MOBOXMBOXBuy,$0.02990,0.40%,0.50%,5.19%,"$14.96M$14,959,835","$3,576,140119.60M",500.32M MBOX
857,Klever CoinKLVBuy,$0.001672,0.08%,0.09%,16.37%,"$14.85M$14,853,514","$238,466142.04M",8.88B KLV
858,Open LootOLBuy,$0.01902,0.68%,0.57%,6.01%,"$14.88M$14,880,416","$1,940,842101.97M",781.95M OL
859,TreehouseTREEBuy,$0.09498,0.60%,1.05%,9.31%,"$14.83M$14,829,716","$5,681,35859.81M",156.12M TREE
860,FC Porto Fan TokenPORTOBuy,$1.13,0.68%,3.18%,4.07%,"$14.78M$14,775,080","$2,621,4812.30M",12.98M PORTO
861,Helium MobileMOBILEBuy,$0.0001651,0.23%,0.57%,8.87%,"$14.74M$14,742,524","$273,7491.65B",89.28B MOBILE
862,Bertram The PomeranianBERTBuy,$0.01525,0.35%,4.01%,23.74%,"$14.74M$14,744,117","$1,450,81795.13M",966.74M BERT
863,TG CasinoTGCBuy,$0.1871,0.15%,1.19%,1.53%,"$14.67M$14,670,844","$41,646222.52K",78.38M TGC
864,saffron.financeSFIBuy,$159.82,0.17%,2.69%,10.06%,"$14.61M$14,611,488",$2281.42,91.42K SFI
865,RIZERIZEBuy,$0.009517,1.03%,0.66%,2.53%,"$14.51M$14,506,408","$98,04410.24M",1.52B RIZE
866,InitiaINITBuy,$0.08116,0.57%,1.56%,12.26%,"$14.59M$14,587,757","$4,707,91458.09M",179.73M INIT
867,HegicHEGICBuy,$0.02066,0.13%,1.76%,14.34%,"$14.55M$14,545,671",$9439.14,703.72M HEGIC
868,AutonolasOLASBuy,$0.06176,0.02%,2.45%,24.65%,"$14.53M$14,532,713","$255,1934.13M",235.3M OLAS
869,PortalPORTALBuy,$0.01920,0.97%,1.44%,1.88%,"$14.5M$14,497,876","$4,112,126214.22M",755.08M PORTAL
870,NamecoinNMCBuy,$0.9839,0.40%,0.22%,6.81%,"$14.5M$14,499,450","$18,37218.68K",14.73M NMC
871,REDXREDXBuy,$0.003636,0.20%,2.26%,26.05%,"$14.44M$14,443,723","$553,124152.11M",3.97B REDX
872,USDMUSDMBuy,$0.9829,0.36%,0.79%,0.87%,"$14.43M$14,429,398","$231,691235.65K",14.67M USDM
873,Camp NetworkCAMPBuy,$0.006829,1.16%,2.13%,7.87%,"$14.38M$14,380,405","$5,137,411751.09M",2.1B CAMP
874,Hamster KombatHMSTRBuy,$0.0002231,1.19%,1.32%,6.46%,"$14.37M$14,367,100","$4,583,00920.49B",64.37B HMSTR
875,iShares Core US Aggregate Bond Tokenized ETF (Ondo)AGGonBuy,$101.66,0.03%,0.20%,0.32%,"$14.37M$14,374,464","$1,185,57711.66K",141.39K AGGon
876,ScrollSCRBuy,$0.07527,0.47%,0.93%,4.72%,"$14.3M$14,302,539","$3,002,30239.88M",190M SCR
877,MinswapMINBuy,$0.008209,0.73%,2.00%,13.21%,"$14.39M$14,393,669","$196,11024.04M",1.75B MIN
878,BeefyBIFIBuy,$176.40,1.63%,2.98%,10.18%,"$14.11M$14,112,126","$5,646,66731.69K",80K BIFI
879,PlatONLATBuy,$0.002095,0.20%,1.29%,2.34%,"$14.25M$14,251,623","$14,878,9667.10B",6.8B LAT
880,S.S. Lazio Fan TokenLAZIOBuy,$1.07,0.73%,2.06%,4.34%,"$14.18M$14,180,385","$1,968,2321.82M",13.17M LAZIO
881,DEXToolsDEXTBuy,$0.2023,0.16%,2.42%,6.42%,"$14.15M$14,150,247","$34,920172.59K",69.93M DEXT
882,AS Roma Fan TokenASRBuy,$1.73,0.29%,3.17%,7.25%,"$14.08M$14,079,915","$10,230,9805.88M",8.1M ASR
883,McDullMCDULLBuy,$0.051857,0.20%,0.30%,11.87%,"$14.03M$14,030,761","$31,66617.04B",7.55T MCDULL
884,WanchainWANBuy,$0.07032,0.30%,0.13%,4.41%,"$13.98M$13,981,876","$1,517,32121.57M",198.8M WAN
885,Impossible Finance LaunchpadIDIABuy,$0.02043,0.04%,0.21%,2.29%,"$13.9M$13,898,645",$16805.31,680M IDIA
886,TestTSTBuy,$0.01471,1.09%,1.31%,8.88%,"$13.88M$13,882,922","$9,023,249612.58M",943.51M TST
887,StablR EuroEURRBuy,$1.17,0.11%,0.24%,0.92%,"$13.92M$13,916,349","$6,803,8195.81M",11.88M EURR
888,ULTILANDARTXBuy,$0.3268,0.18%,25.55%,36.36%,"$13.86M$13,857,276","$18,378,54556.22M",42.4M ARTX
889,Manyu (manyushiba.com)MANYUBuy,$0.071385,3.42%,11.87%,27.16%,"$13.86M$13,855,476","$5,321,230384.05T",1P MANYU
890,Sport.FunFUNBuy,$0.07767,1.52%,18.57%,1.58%,"$13.83M$13,825,274","$18,931,648245.22M",178M FUN
891,Assemble AIASMBuy,$0.009108,0.65%,2.67%,11.71%,"$13.66M$13,663,008","$1,809,146197.53M",1.5B ASM
892,MorphwareXMWBuy,$0.01665,1.03%,3.58%,23.40%,"$13.72M$13,715,125","$282,13116.94M",823.7M XMW
893,TalusUSBuy,$0.006263,0.53%,12.05%,1.96%,"$13.78M$13,778,644","$15,816,8222.53B",2.2B US
894,Toko TokenTKOBuy,$0.08092,0.30%,0.79%,6.52%,"$13.73M$13,725,205","$1,304,62916.13M",169.59M TKO
895,DevveDEVVEBuy,$0.1420,0.24%,2.79%,7.15%,"$13.7M$13,696,833","$447,6563.15M",96.44M DEVVE
896,SplendorSPLDBuy,$0.3056,0.24%,2.36%,10.74%,"$13.66M$13,663,140","$388,6151.27M",44.7M SPLD
897,EnzymeMLNBuy,$4.56,0.70%,0.17%,7.97%,"$13.64M$13,643,370","$3,084,273675.02K",2.98M MLN
898,AhaTokenAHTBuy,$0.001892,0.39%,1.28%,3.20%,"$13.65M$13,646,467","$90,51547.81M",7.21B AHT
899,XSGDXSGDBuy,$0.7805,0.03%,0.15%,0.43%,"$13.6M$13,597,591","$397,939509.87K",17.42M XSGD
900,AdExADXBuy,$0.09191,0.67%,1.12%,2.02%,"$13.59M$13,594,022","$8,341,28990.79M",147.9M ADX
901,NetXNETXBuy,$0.6942,1.73%,5.55%,4.52%,"$13.58M$13,575,694","$195,800282.30K",19.55M NETX
902,iShares Gold Trust Tokenized ETF (Ondo)IAUonBuy,$92.61,0.22%,1.47%,6.55%,"$13.56M$13,563,233","$5,073,79754.79K",146.44K IAUon
903,Joe coinJOEBuy,$0.01351,0.01%,0.49%,18.04%,"$13.52M$13,517,149","$6,108451.94K",1B JOE
904,MCOINMCOINBuy,$0.07626,0.31%,0.05%,2.19%,"$13.5M$13,498,699","$334,4844.38M",177M MCOIN
905,ChainbountyBOUNTYBuy,$0.02644,0.16%,4.49%,9.80%,"$13.45M$13,446,798","$2,819,273106.59M",508.39M BOUNTY
906,AbelianABELBuy,$0.1204,0.18%,1.81%,14.69%,"$13.44M$13,444,915","$85,177707.07K",111.6M ABEL
907,SyncGPTSYNCBuy,$0.06708,0.01%,0.03%,0.07%,"$13.42M$13,417,477",--,200M SYNC
908,Infinity GroundAINBuy,$0.04881,0.36%,3.90%,5.95%,"$13.41M$13,405,675","$3,889,69879.68M",274.62M AIN
909,Bitcoin GoldBTGBuy,$0.7648,0.83%,60.01%,40.20%,"$13.4M$13,395,229","$2,4223.16K",17.51M BTG
910,AlephiumALPHBuy,$0.1093,1.65%,3.63%,3.42%,"$13.38M$13,375,738","$259,9492.37M",122.32M ALPH
911,TutorialTUTBuy,$0.01598,0.88%,0.16%,0.15%,"$13.37M$13,369,989","$3,347,384209.35M",836.18M TUT
912,HemiHEMIBuy,$0.01361,0.98%,0.11%,16.87%,"$13.31M$13,311,282","$6,604,825485.01M",977.5M HEMI
913,NATIX NetworkNATIXBuy,$0.0003277,1.57%,23.30%,19.68%,"$13.31M$13,309,648","$618,0641.88B",40.6B NATIX
914,Redbelly NetworkRBNTBuy,$0.005535,0.02%,2.60%,13.81%,"$13.3M$13,302,404","$203,09636.69M",2.4B RBNT
915,Landwolf 0x67WOLFBuy,$0.00001473,0.18%,0.23%,23.92%,"$13.3M$13,296,828","$887,60360.22B",902.15B WOLF
916,EnsoENSOBuy,$0.6452,3.19%,16.43%,1.37%,"$13.29M$13,285,035","$41,601,71464.47M",20.59M ENSO
917,The Official 67 Coin67Buy,$0.01328,4.01%,3.27%,62.06%,"$13.28M$13,280,942","$3,853,026290.02M",999.68M 67
918,MicroStrategy tokenized stock (xStock)MSTRXBuy,$161.61,0.60%,1.64%,7.74%,"$13.27M$13,268,187","$3,970,34324.56K",82.09K MSTRX
919,PepeCoinPEPECOINBuy,$0.1237,0.14%,0.63%,17.86%,"$13.25M$13,252,028","$253,0062.04M",107.05M PEPECOIN
920,SplintershardsSPSBuy,$0.008269,0.01%,3.08%,0.44%,"$12.98M$12,983,733","$21,3002.57M",1.57B SPS
921,Layer3L3Buy,$0.01289,0.82%,4.14%,4.73%,"$12.94M$12,942,980","$7,118,346551.88M",1B L3
922,InfraredIRBuy,$0.06312,0.82%,3.02%,17.29%,"$12.94M$12,940,680","$148,710,6962.35B",205M IR
923,Kyuzo's FriendsKOBuy,$0.05890,1.91%,14.93%,59.62%,"$12.81M$12,812,575","$705,30811.87M",217.5M KO
924,BubblemapsBMTBuy,$0.02279,0.24%,0.41%,8.61%,"$12.85M$12,849,287","$5,546,425243.36M",563.69M BMT
925,NFPromptNFPBuy,$0.02498,0.63%,0.28%,5.17%,"$12.76M$12,763,147","$4,601,908184.13M",510.93M NFP
926,Gleec CoinGLEECBuy,$0.06997,0.08%,21.37%,4.17%,"$12.72M$12,717,766","$5,26575.25K",181.75M GLEEC
927,Humans.aiHEARTBuy,$0.001623,0.23%,0.32%,6.24%,"$12.66M$12,662,181","$165,563101.86M",7.8B HEART
928,X EmpireXBuy,$0.00001836,0.07%,1.69%,4.27%,"$12.67M$12,668,614","$438,37423.88B",690B X
929,FortaFORTBuy,$0.02010,0.20%,0.88%,4.76%,"$12.65M$12,653,021","$356,39617.71M",629.25M FORT
930,TAC ProtocolTACBuy,$0.004716,0.04%,8.06%,13.80%,"$12.61M$12,611,319","$3,072,736649.70M",2.67B TAC
931,RAMPRAMPBuy,$0.02646,0.63%,1.68%,8.20%,"$12.65M$12,645,173",$48218.20K,477.83M RAMP
932,WojakWOJAKBuy,$0.01259,2.85%,9.90%,39.66%,"$12.6M$12,597,709","$2,053,748163.54M",999.95M WOJAK
933,DODODODOBuy,$0.01728,0.78%,0.53%,5.41%,"$12.55M$12,545,346","$2,062,884119.24M",725.7M DODO
934,ColossusXTCOLXBuy,$0.0009845,0.00%,0.00%,0.00%,"$12.54M$12,536,278",--,12.73B COLX
935,VameonVONBuy,$0.00002505,0.18%,1.21%,51.41%,"$12.53M$12,528,704","$351,35214.03B",500B VON
936,ZerebroZEREBROBuy,$0.01247,0.51%,1.50%,27.54%,"$12.48M$12,476,331","$3,729,504298.96M",999.95M ZEREBRO
937,KlerosPNKBuy,$0.01547,0.74%,4.55%,7.17%,"$12.46M$12,463,636","$134,5758.69M",805.29M PNK
938,Access ProtocolACSBuy,$0.0002740,0.37%,0.67%,9.61%,"$12.43M$12,430,775","$681,5302.48B",45.35B ACS
939,Neon EVMNEONBuy,$0.05188,0.93%,2.03%,12.26%,"$12.42M$12,424,196","$890,91417.19M",239.46M NEON
940,Openverse NetworkBTGBuy,$6.46,0.07%,3.56%,4.27%,"$12.28M$12,278,744","$34,518,3845.34M",1.9M BTG
941,NosanaNOSBuy,$0.2543,0.04%,13.04%,16.22%,"$12.26M$12,261,294","$723,4352.84M",48.19M NOS
942,PinLinkPINBuy,$0.1394,0.72%,7.42%,22.83%,"$12.3M$12,298,390","$455,4873.27M",88.2M PIN
943,TrueFiTRUBuy,$0.008922,0.36%,0.71%,10.71%,"$12.23M$12,227,688","$3,421,788383.12M",1.37B TRU
944,Haedal ProtocolHAEDALBuy,$0.04040,0.64%,0.37%,9.77%,"$12.22M$12,223,590","$4,021,78799.49M",302.5M HAEDAL
945,ASDASDBuy,$0.01849,0.11%,2.25%,0.06%,"$12.22M$12,216,589","$1,192,10264.46M",660.61M ASD
946,GitcoinGTCBuy,$0.1267,0.05%,0.31%,7.46%,"$12.22M$12,215,282","$1,099,8918.67M",96.38M GTC
947,district0xDNTBuy,$0.01213,0.03%,0.57%,7.38%,"$12.13M$12,134,797","$18,5961.52M",1B DNT
948,Heroes of MaviaMAVIABuy,$0.05353,1.85%,0.45%,9.50%,"$12.03M$12,025,660","$3,925,61772.50M",224.63M MAVIA
949,GYENGYENBuy,$0.005752,0.40%,7.69%,0.07%,"$12.07M$12,074,141",$45979.64K,2.09B GYEN
950,Micron Technology Tokenized Stock (Ondo)MUonBuy,$394.87,0.68%,2.50%,15.83%,"$12.1M$12,104,053","$6,407,70016.22K",30.65K MUon
951,Liqwid FinanceLQBuy,$0.5966,0.63%,1.48%,9.17%,"$12.02M$12,017,297","$95,136159.50K",20.14M LQ
952,DefigramDFGBuy,$1.20,0.01%,0.01%,0.04%,"$12M$12,004,839",--,10M DFG
953,SwarmsSWARMSBuy,$0.01196,0.85%,0.13%,13.72%,"$11.96M$11,961,621","$1,860,352155.16M",999.98M SWARMS
954,THORWalletTITNBuy,$0.2819,1.19%,14.10%,2.18%,"$11.98M$11,982,883","$3,516,10512.48M",42.5M TITN
955,BFG TokenBFGBuy,$0.01065,0.11%,0.09%,1.64%,"$11.96M$11,960,351","$10,528988.31K",1.12B BFG
956,AcetACTBuy,$0.009465,5.41%,5.63%,1.42%,"$11.91M$11,908,248","$18,3341.93M",1.25B ACT
957,RoamROAMBuy,$0.03517,0.26%,3.63%,18.90%,"$11.84M$11,838,090","$1,454,66041.27M",336.57M ROAM
958,MansoryMNSRYBuy,$0.01315,0.26%,1.46%,8.47%,"$11.84M$11,843,619","$385,85829.32M",899.98M MNSRY
959,AspectaASPBuy,$0.04397,0.06%,0.03%,7.94%,"$11.79M$11,793,745","$1,682,66638.22M",268.18M ASP
960,Harvest FinanceFARMBuy,$17.54,0.55%,0.45%,6.53%,"$11.79M$11,792,939","$972,71655.43K",672.18K FARM
961,MitosisMITOBuy,$0.06502,0.99%,0.46%,6.45%,"$11.79M$11,787,631","$3,820,54358.73M",181.27M MITO
962,Radiant CapitalRDNTBuy,$0.008716,0.96%,1.25%,11.83%,"$11.73M$11,734,777","$2,476,804284.15M",1.34B RDNT
963,LimitlessLMTSBuy,$0.08883,0.22%,0.58%,28.78%,"$11.69M$11,689,920","$3,059,85634.41M",131.59M LMTS
964,FC Barcelona Fan TokenBARBuy,$0.5574,0.17%,0.36%,7.73%,"$11.68M$11,684,620","$2,021,8073.63M",20.95M BAR
965,MamoMAMOBuy,$0.02073,0.43%,2.04%,15.77%,"$11.59M$11,589,851","$570,24427.44M",559.07M MAMO
966,BluefinBLUEBuy,$0.02944,0.43%,1.63%,15.07%,"$11.62M$11,621,892","$4,260,414144.76M",394.65M BLUE
967,Ark of PandaAOPBuy,$0.03318,0.06%,0.50%,2.67%,"$11.62M$11,615,747","$1,218,61536.72M",349.99M AOP
968,RaylsRLSBuy,$0.007730,1.34%,3.53%,16.78%,"$11.6M$11,596,048","$2,622,452339.14M",1.5B RLS
969,BedrockBRBuy,$0.05019,0.35%,5.86%,7.35%,"$11.55M$11,545,169","$1,017,94620.25M",230M BR
970,HeimaHEIBuy,$0.1310,1.01%,7.79%,2.41%,"$11.53M$11,528,206","$15,229,554116.00M",87.99M HEI
971,Paris Saint-Germain Fan TokenPSGBuy,$0.8349,0.21%,1.32%,6.18%,"$11.51M$11,513,819","$1,798,0352.15M",13.78M PSG
972,OORTOORTBuy,$0.01667,0.12%,2.47%,11.28%,"$11.5M$11,501,528","$413,43224.81M",689.77M OORT
973,Avalon Labs (AVL)AVLBuy,$0.07101,0.38%,1.54%,10.01%,"$11.48M$11,482,377","$10,506,340147.61M",161.68M AVL
974,ELYSIAELBuy,$0.002366,0.50%,1.65%,8.88%,"$11.39M$11,385,277","$224,53894.82M",4.81B EL
975,LUKSOLYXBuy,$0.3732,0.13%,4.39%,8.95%,"$11.4M$11,398,159","$602,3701.61M",30.53M LYX
976,PikabossPIKABuy,$0.072698,0.04%,0.01%,10.39%,"$11.35M$11,353,652","$1,81567.24B",420.69T PIKA
977,Fuel NetworkFUELBuy,$0.001607,0.05%,1.24%,0.96%,"$11.31M$11,307,398","$1,988,2111.23B",7.03B FUEL
978,NVIDIA Tokenized Stock (Ondo)NVDAonBuy,$184.59,0.19%,1.89%,2.16%,"$11.26M$11,255,003","$6,989,02737.88K",60.97K NVDAon
979,BitgertBRISEBuy,$0.072825,0.87%,0.60%,5.94%,"$11.18M$11,181,175","$956,70633.68T",395.69T BRISE
980,iShares TIPS Bond Tokenized ETF (Ondo)TIPonBuy,$111.56,0.08%,0.04%,0.43%,"$11.17M$11,173,463","$3,81034.14",100.14K TIPon
981,ZetaZEXBuy,$0.05939,0.14%,0.91%,13.17%,"$11.15M$11,153,192","$196,7773.31M",187.76M ZEX
982,NAVI ProtocolNAVXBuy,$0.01364,0.36%,1.48%,26.11%,"$11.14M$11,138,225","$386,72028.33M",816.16M NAVX
983,OasysOASBuy,$0.001761,0.08%,0.20%,7.99%,"$11.12M$11,121,317","$132,08374.94M",6.31B OAS
984,RealREALBuy,$0.01116,0.40%,2.17%,14.26%,"$11.12M$11,115,152","$384,63034.49M",995.21M REAL
985,OMG NetworkOMGBuy,$0.07918,0.06%,0.49%,4.74%,"$11.11M$11,105,016","$1,798,26922.74M",140.24M OMG
986,AMO CoinAMOBuy,$0.0005219,0.05%,0.78%,7.64%,"$11.07M$11,066,238","$76,899147.30M",21.2B AMO
987,Bella ProtocolBELBuy,$0.1380,0.48%,0.31%,2.24%,"$11.04M$11,040,682","$3,618,29726.19M",80M BEL
988,QIE BlockchainQIEBuy,$0.1308,0.00%,0.31%,7.50%,"$11.04M$11,042,024","$12,81897.95K",84.36M QIE
989,Nakamoto GamesNAKABuy,$0.1159,0.15%,5.66%,27.81%,"$10.99M$10,989,663","$1,545,84313.28M",94.76M NAKA
990,TradoorTRADOORBuy,$0.7664,0.56%,2.09%,35.62%,"$11M$10,997,712","$5,040,2996.56M",14.34M TRADOOR
991,CodattaXNYBuy,$0.004408,1.96%,7.92%,33.00%,"$11.02M$11,021,978","$29,383,6636.68B",2.5B XNY
992,NUMINENUMIBuy,$0.05636,0.08%,2.05%,46.80%,"$10.96M$10,963,983","$799,43514.18M",194.5M NUMI
993,XBorgXBGBuy,$0.04569,0.15%,1.96%,15.83%,"$10.91M$10,905,419","$94,2312.05M",238.67M XBG
994,AxiomeAXMBuy,$0.01793,0.95%,48.83%,95.43%,"$10.86M$10,856,771","$90,5495.03M",605.39M AXM
995,dForceDFBuy,$0.01088,0.38%,0.93%,3.17%,"$10.88M$10,881,826","$980,07390.11M",999.92M DF
996,Arena-ZA2ZBuy,$0.001397,0.45%,0.95%,8.49%,"$10.85M$10,845,238","$7,299,8125.21B",7.75B A2Z
997,VictionVICBuy,$0.08644,0.64%,0.73%,7.40%,"$10.81M$10,805,248","$814,7399.41M",124.99M VIC
998,Hana NetworkHANABuy,$0.02297,0.82%,3.58%,115.04%,"$10.63M$10,627,289","$53,238,9952.30B",462.64M HANA
999,Badger DAOBADGERBuy,$0.5285,0.23%,1.65%,9.37%,"$10.63M$10,634,967","$1,910,2683.61M",20.12M BADGER
1000,APXAPXBuy,$0.2398,0.01%,0.35%,0.77%,"$10.59M$10,589,088",$8903.71K,44.15M APX
